#NGC, Pitch_angle, Range
157, 19, 4
210, 11, 2
262, 11, 1
289, 14, 4
300, 25, 3
309, 17, 2
488, 5, 1
495, 8, 2
514, 18, 2
598, 31, 5
628, 15, 2
718, 4, 2
864, 16, 3
895, 22, 3
918, 18, 2
925, 25, 2
1042, 13, 3
1079, 7, 2
1084, 18, 3
1097, 17, 4
1187, 14, 4
1232, 15, 4
1350, 7, 2
1357, 8, 1
1365, 18, 3
1398, 6, 2
1566, 22, 2
1832, 17, 3
2217, 3, 1
2223, 16, 4
2336, 18, 4
2403, 21, 4
2442, 28, 3
2525, 17, 4
2543, 13, 2
2763, 18, 4
2835, 20, 2
2857, 13, 1
2903, 13, 5
2997, 14, 2
3001, 14, 3
3031, 12, 2
3081, 12, 2
3081, 1, 1
3184, 17, 3
3185, 0, 1
3261, 13, 2
3294, 20, 3
3338, 13, 2
3344, 15, 2
3346, 14, 3
3347, 21, 3
3358, 6, 2
3464, 12, 2
3486, 22, 4
3521, 14, 3
3631, 17, 4
3783, 7, 1
3938, 12, 3
3992, 11, 2
4030, 12, 2
4321, 15, 3
4378, 4, 1
4394, 10, 2
4450, 10, 2
4454, 3, 1
4487, 26, 4
4501, 15, 3
4504, 21, 3
4535, 18, 3
4548, 16, 4
4579, 7, 2
4622, 7, 2
4654, 16, 3
4725, 7, 1
4826, 7, 2
4939, 11, 2
5005, 10, 3
5033, 19, 3
5055, 11, 3
5068, 22, 4
5085, 12, 2
5101, 7, 2
5194, 15, 2
5236, 16, 2
5247, 28, 4
5364, 9, 2
5371, 14, 4
5457, 25, 4
5676, 13, 2
5701, 7, 2
5962, 11, 2
5985, 9, 2
6118, 14, 3
6384,11, 2
6412, 16, 3
6654, 5, 1
6699, 12,3
6477, 15, 2
6753, 10, 2
6814, 13, 2
6942, 28, 4
7020, 0, 1
7096, 8, 2
7125, 19, 3
7126, 11, 2
7205, 13, 3
7217, 4, 2
7331, 14, 3
7743, 6, 2
7753, 13, 2
IC342, 19, 5